商品编码,品名,监管条件,检验检疫类别,法定单位,政策依据
28364000,钾的碳酸盐,,,千克,税委会公告2026年第5号
28365000,碳酸钙,A,R,千克,税委会公告2026年第5号
28366000,碳酸钡,,,千克,税委会公告2026年第5号
28369100,锂的碳酸盐,,,千克,税委会公告2026年第5号
28369200,锶的碳酸盐,,,千克,税委会公告2026年第5号
28369910,碳酸镁,A,R,千克,税委会公告2026年第5号
28369930,碳酸钴,4xy,,千克,税委会公告2026年第5号
28369940,商品碳酸铵及其他铵的碳酸盐,,,千克,税委会公告2026年第5号
28369950,碳酸锆,AB,RS,千克,税委会公告2026年第5号
28369990,其他,A,MR,千克,税委会公告2026年第5号
28371110,氰化钠,23AB,MN,千克,税委会公告2026年第5号
28371120,氧氰化钠,,,千克,税委会公告2026年第5号
28371910,氰化钾,23AB,MN,千克,税委会公告2026年第5号
28371990,其他,,,千克,税委会公告2026年第5号
28372000,氰络合物,,,千克,税委会公告2026年第5号
28391100,偏硅酸钠,AB,MN,千克,税委会公告2026年第5号
28391910,硅酸钠,A,M,千克,税委会公告2026年第5号
28391990,其他,,,千克,税委会公告2026年第5号
28399000,其他锆的硅酸盐,,,千克,税委会公告2026年第5号
28401100,无水四硼酸钠,,,千克,税委会公告2026年第5号
28401900,其他,,,千克,税委会公告2026年第5号
28402000,其他硼酸盐,,,千克,税委会公告2026年第5号
28403000,过硼酸盐,,,千克,税委会公告2026年第5号
28413000,重铬酸钠,AB,MN,千克,税委会公告2026年第5号
28415000,其他铬酸盐及重铬酸盐；过铬酸盐,,,千克,税委会公告2026年第5号
28416100,高锰酸钾,23AB,MRNS,千克,税委会公告2026年第5号
28416910,锰酸锂,,,千克,日常维护
28416990,其他,,,千克,税委会公告2026年第5号
28417010,钼酸铵,4xy,,千克,税委会公告2026年第5号
28417090,其他,4xy,,千克,税委会公告2026年第5号
28418010,仲钨酸铵,4xy3,,千克,税委会公告2026年第5号
28418020,钨酸钠,4xy,,千克,税委会公告2026年第5号
28418030,钨酸钙,4xy,,千克,税委会公告2026年第5号
28418040,偏钨酸铵,4xy,,千克,税委会公告2026年第5号
28418090,其他,,,千克,税委会公告2026年第5号
28419000,其他铼酸盐及高铼酸盐铌酸锂,,,千克,日常维护
28421000,硅酸复盐及硅酸络盐，（包括不论是否已有化学定义的硅铝酸盐）环硅酸锆钠,AB,MRNS,千克,税委会公告2026年第5号
28429011,硫氰酸钠,,,千克,税委会公告2026年第5号
28429019,其他,AB,MN,千克,税委会公告2026年第5号
28429020,碲化镉,AB3,MN,千克,税委会公告2026年第5号
28429030,锂镍钴锰氧化物,AB,RS,千克,日常维护
28429040,磷酸铁锂,,,千克,税委会公告2026年第5号
28429050,硒酸盐及亚硒酸盐,AB,MRNS,千克,税委会公告2026年第5号
28429060,锂镍钴铝氧化物,AB,MRNS,千克,日常维护
28429090,其他第六分章杂项产品,AB,MRNS,千克,税委会公告2026年第5号
28431000,胶态贵金属,,,克,税委会公告2026年第5号
28432100,硝酸银,AB,MN,克,税委会公告2026年第5号
28432900,其他,,,克,税委会公告2026年第5号
28433000,金化合物,J,,克,税委会公告2026年第5号
28439000,其他贵金属化合物；贵金属汞齐抗癌药原料（奥沙利铂、卡铂、奈达铂、顺铂）燃料电池用氧化铱（铱含量75%及以上，粒径40-100纳米，金属杂质总量小于500ppm）,G,,克,税委会公告2026年第5号
28441000,天然铀及其化合物；含天然铀或天然铀化合物的合金、分散体（包括金属陶瓷）、陶瓷产品及混合物天然铀及其化合物,23,,克/百万贝可,税委会公告2026年第5号
28442000,铀235浓缩铀及其化合物；钚及其化合物；含铀235浓缩铀、钚或它们的化合物的合金、分散体（包括金属陶瓷）、陶瓷产品及混合物含铀235浓度低于5％的低浓铀及其化合物,23,,克/百万贝可,税委会公告2026年第5号
28443000,铀235贫化铀及其化合物；钍及其化合物；含铀235贫化铀、钍或它们的化合物的合金、分散体（包括金属陶瓷）、陶瓷产品及混合物,23,,克/百万贝可,税委会公告2026年第5号
28444100,氚及其化合物；含氚及其化合物的合金、分散体（包括金属陶瓷）、陶瓷产品及混合物,23,,克/百万贝可,税委会公告2026年第5号
28444210,镭-223及镭-223盐氯化镭[223Ra]注射液,2,,克/百万贝可,税委会公告2026年第5号
28444290,其他,23,,克/百万贝可,税委会公告2026年第5号
28444310,除镭-223及镭-223盐外的镭及镭盐,23,,克/百万贝可,税委会公告2026年第5号
28444320,钴及钴盐,2,,克/百万贝可,税委会公告2026年第5号
28444390,其他钇[90]微球注射液,23,,克/百万贝可,税委会公告2026年第5号
28444400,放射性残渣,2,,克/百万贝可,税委会公告2026年第5号
28445000,核反应堆已耗尽（已辐照）的燃料元件（释热元件）,3,,克,税委会公告2026年第5号
28451000,重水（氧化氘）,3,,克,税委会公告2026年第5号
28452000,硼-10浓缩硼及其化合物,3,,克/百万贝可,税委会公告2026年第5号
28453000,锂-6浓缩锂及其化合物,3,,克,税委会公告2026年第5号
28454000,氦-3,3,,克/百万贝可,税委会公告2026年第5号
28459000,其他氘丁苯那嗪抗癌药原料（甲苯磺酸多纳非尼）,,,克,税委会公告2026年第5号
28461010,氧化铈,4Bxy,N,千克,税委会公告2026年第5号
28461020,氢氧化铈,4Bxy,N,千克,税委会公告2026年第5号
28461030,碳酸铈,4Bxy,N,千克,税委会公告2026年第5号
28461090,其他,4Bxy,N,千克,税委会公告2026年第5号
28469011,氧化钇,34Bxy,N,千克,税委会公告2026年第5号
28469012,氧化镧,4Bxy,N,千克,税委会公告2026年第5号
28469013,氧化钕,4Bxy,N,千克,税委会公告2026年第5号
28469014,氧化铕,4Bxy,N,千克,税委会公告2026年第5号
28469015,氧化镝,34Bxy,N,千克,税委会公告2026年第5号
28469016,氧化铽,34Bxy,N,千克,税委会公告2026年第5号
28469017,氧化镨,4Bxy,N,千克,税委会公告2026年第5号
28469018,氧化镥,34Bxy,N,千克,税委会公告2026年第5号
28469019,其他,4Bxy,N,千克,税委会公告2026年第5号
28469021,氯化铽,4Bxy3,N,千克,税委会公告2026年第5号
28469022,氯化镝,34Bxy,N,千克,税委会公告2026年第5号
28469023,氯化镧,4Bxy,N,千克,税委会公告2026年第5号
28469024,氯化钕,4Bxy,N,千克,税委会公告2026年第5号
28469025,氯化镨,4Bxy,N,千克,税委会公告2026年第5号
28469026,氯化钇,34Bxy,N,千克,税委会公告2026年第5号
28469028,混合氯化稀土,34Bxy,N,千克,税委会公告2026年第5号
28469029,其他,34Bxy,N,千克,税委会公告2026年第5号
28469031,氟化铽,34Bxy,N,千克,税委会公告2026年第5号
28469032,氟化镝,34Bxy,N,千克,税委会公告2026年第5号
28469033,氟化镧,4ABxy,MN,千克,税委会公告2026年第5号
28469034,氟化钕,4Bxy,N,千克,税委会公告2026年第5号
28469035,氟化镨,4Bxy,N,千克,税委会公告2026年第5号
28469036,氟化钇,34Bxy,N,千克,税委会公告2026年第5号
28469039,其他,34Bxy,N,千克,税委会公告2026年第5号
28469041,碳酸镧,4Bxy,N,千克,税委会公告2026年第5号
28469042,碳酸铽,34Bxy,N,千克,税委会公告2026年第5号
28469043,碳酸镝,34Bxy,N,千克,税委会公告2026年第5号
28469044,碳酸钕,4Bxy,N,千克,税委会公告2026年第5号
28469045,碳酸镨,4Bxy,N,千克,税委会公告2026年第5号
28469046,碳酸钇,34Bxy,N,千克,税委会公告2026年第5号
28469048,混合碳酸稀土,34Bxy,N,千克,税委会公告2026年第5号
28469049,其他,34Bxy,N,千克,税委会公告2026年第5号
28469091,镧的其他化合物,4Bxy,N,千克,税委会公告2026年第5号
28469092,钕的其他化合物,4Bxy,N,千克,税委会公告2026年第5号
28469093,铽的其他化合物,34Bxy,N,千克,税委会公告2026年第5号
28469094,镝的其他化合物,34Bxy,N,千克,税委会公告2026年第5号
28469095,镨的其他化合物,4Bxy,N,千克,税委会公告2026年第5号
28469096,钇的其他化合物,34Bxy,N,千克,税委会公告2026年第5号
28469099,其他,34Bxy,N,千克,税委会公告2026年第5号
28470000,过氧化氢，不论是否用尿素固化,ABG,MRNS,千克,税委会公告2026年第5号
28491000,碳化钙,AB,MN,千克,税委会公告2026年第5号
28492000,碳化硅,4xy,,千克,税委会公告2026年第5号
28499010,碳化硼,,,千克,税委会公告2026年第5号
28499020,碳化钨,4xy3,,千克,税委会公告2026年第5号
28499090,其他,,,千克,税委会公告2026年第5号
28500011,氮化锰,,,千克,税委会公告2026年第5号
28500012,氮化硼,,,千克,税委会公告2026年第5号
28500019,其他,,,千克,税委会公告2026年第5号
28500090,其他乙硅烷砷烷,,,千克,税委会公告2026年第5号
28521000,已有化学定义的,3,,千克,税委会公告2026年第5号
28529000,其他,,,千克,税委会公告2026年第5号
28531000,氯化氰,23AB,MN,千克,税委会公告2026年第5号
28539010,饮用蒸馏水,AB,RS,千克,税委会公告2026年第5号
28539030,镍钴锰氢氧化物,,,千克,日常维护
28539040,磷化物，不论是否已有化学定义，但不包括磷铁磷烷,S,,千克,税委会公告2026年第5号
28539050,镍钴铝氢氧化物,,,千克,日常维护
28539090,其他,AB,MN,千克,税委会公告2026年第5号
29011010,乙烷,,,千克,税委会公告2026年第5号
29011090,其他,,,千克,税委会公告2026年第5号
29012100,乙烯,AB,MN,千克,税委会公告2026年第5号
29012200,丙烯,AB,MN,千克,税委会公告2026年第5号
29012310,1-丁烯,AB,MN,千克,税委会公告2026年第5号
29012320,2-丁烯,AB,MN,千克,税委会公告2026年第5号
29012330,2-甲基丙烯,,,千克,税委会公告2026年第5号
29012410,1，3-丁二烯,AB,MN,千克,税委会公告2026年第5号
29012420,异戊二烯,,,千克,税委会公告2026年第5号
29012910,异戊烯,AB,MN,千克,税委会公告2026年第5号
29012920,乙炔,AB,MN,千克,税委会公告2026年第5号
29012990,其他,S,,千克,税委会公告2026年第5号
29021100,环己烷,ABG,MN,千克,税委会公告2026年第5号
29021910,蒎烯,,,千克,税委会公告2026年第5号
29021920,4-烷基-4'-烷基双环己烷,,,千克,税委会公告2026年第5号
29021990,其他,,,千克,税委会公告2026年第5号
29022000,苯,ABG,MN,千克,税委会公告2026年第5号
29023000,甲苯,23AB,MN,千克,税委会公告2026年第5号
29024100,邻二甲苯,G,,千克,税委会公告2026年第5号
29024200,间二甲苯,G,,千克,税委会公告2026年第5号
29024300,对二甲苯,G,,千克,税委会公告2026年第5号
29024400,混合二甲苯异构体,G,,千克,税委会公告2026年第5号
29025000,苯乙烯,AB,MN,千克,税委会公告2026年第5号
29026000,乙苯,AB,MN,千克,税委会公告2026年第5号
29027000,异丙基苯,AB,MN,千克,税委会公告2026年第5号
29029010,四氢萘,,,千克,税委会公告2026年第5号
29029020,精萘,AB,MN,千克,税委会公告2026年第5号
29029030,十二烷基苯,,,千克,税委会公告2026年第5号
29029040,4-（4'-烷基环己基）环己基乙烯,,,千克,税委会公告2026年第5号
29029050,1-烷基-4-（4-烷烯基-1，1'-双环己基）苯,,,千克,税委会公告2026年第5号
29029090,其他,,,千克,税委会公告2026年第5号
29031100,一氯甲烷及氯乙烷,,,千克,税委会公告2026年第5号
29031200,二氯甲烷,G,,千克,税委会公告2026年第5号
29031300,氯仿（三氯甲烷）,23AB,MN,千克,税委会公告2026年第5号
29031400,四氯化碳,89,,千克,税委会公告2026年第5号
29031500,1，2-二氯乙烷（ISO）,ABG,MRNS,千克,税委会公告2026年第5号
29031910,1，1，1-三氯乙烷（甲基氯仿）,148ABxy,MN,千克,税委会公告2026年第5号
29031990,其他,,,千克,税委会公告2026年第5号
29032100,氯乙烯,AB,MN,千克,税委会公告2026年第5号
29032200,三氯乙烯,AB,MN,千克,日常维护
29032300,四氯乙烯（全氯乙烯）,7AB,MN,千克,税委会公告2026年第5号
29032910,3-氯-1-丙烯（氯丙烯）,,,千克,税委会公告2026年第5号
29032990,其他,,,千克,税委会公告2026年第5号
29034100,三氟甲烷（HFC-23）,14xy,,千克,税委会公告2026年第5号
29034200,二氟甲烷（HFC-32）,14xy,,千克,税委会公告2026年第5号
29034300,一氟甲烷（HFC-41）、1，2-二氟乙烷（HFC-152）及1，1-二氟乙烷（HFC-152a）,14xy,,千克,税委会公告2026年第5号
29034400,五氟乙烷（HFC-125）、1，1，1-三氟乙烷（HFC-143a）及1，1，2-三氟乙烷（HFC-143）,14xy,,千克,税委会公告2026年第5号
29034500,1，1，1，2-四氟乙烷（HFC-134a）及1，1，2，2-四氟乙烷（HFC-134）,14xy,,千克,税委会公告2026年第5号
29034600,1，1，1，2，3，3，3-七氟丙烷（HFC-227ea）、1，1，1，2，2，3-六氟丙烷（HFC-236cb）、1，1，1，2，3，3-六氟丙烷（HFC-236ea）、1，1，1，3，3，3-六氟丙烷（HFC-236fa）,14xy,,千克,税委会公告2026年第5号
29034700,1，1，1，3，3-五氟丙烷（HFC-245fa）及1，1，2，2，3-五氟丙烷（HFC-245ca）,14xy,,千克,税委会公告2026年第5号
29034800,1，1，1，3，3-五氟丁烷（HFC-365mfc）及1，1，1，2，2，3，4，5，5，5-十氟戊烷（HFC-43-10mee）,14xy,,千克,税委会公告2026年第5号
29034900,其他,X,,千克,税委会公告2026年第5号
29035100,2，3，3，3-四氟丙烯（HFO-1234yf）、1，3，3，3-四氟丙烯（HFO-1234ze）及（Z）-1，1，1，4，4，4-六氟-2-丁烯（HFO-1336mzz）,,,千克,税委会公告2026年第5号
29035910,1，1，3，3，3-五氟-2三氟甲基-1-丙烯（全氟异丁烯；八氟异丁烯）,23,,千克,税委会公告2026年第5号
29035990,其他,,,千克,税委会公告2026年第5号
29036100,甲基溴（溴甲烷）,14ABxy,MN,千克,税委会公告2026年第5号
29036200,二溴乙烷（ISO）（1，2-二溴乙烷）,89,,千克,税委会公告2026年第5号
29036900,其他,AB,MN,千克,税委会公告2026年第5号
29037100,一氯二氟甲烷（HCFC-22）,14ABxy,MN,千克,税委会公告2026年第5号
29037200,二氯三氟乙烷（HCFC-123）,14xy,,千克,税委会公告2026年第5号
29037300,二氯一氟乙烷（HCFC-141，141b）,14xy,,千克,税委会公告2026年第5号
29037400,一氯二氟乙烷（HCFC-142，142b）,14xy,,千克,税委会公告2026年第5号
29037500,二氯五氟丙烷（HCFC-225，225ca，225cb）,14xy,,千克,税委会公告2026年第5号
29037600,溴氯二氟甲烷（Halon-1211）、一溴三氟甲烷（Halon-1301）及二溴四氟乙烷（Halon-2402）,14ABxy,MN,千克,税委会公告2026年第5号
29037710,三氯氟甲烷,14xy,,千克,税委会公告2026年第5号
29037720,其他仅含氟和氯的甲烷、乙烷及丙烷的全卤化物,,,千克,税委会公告2026年第5号
29037790,其他,,,千克,税委会公告2026年第5号
29037800,其他全卤化衍生物,X,,千克,税委会公告2026年第5号
29037910,其他仅含氟和氯的甲烷、乙烷及丙烷的卤化衍生物,14xy,,千克,税委会公告2026年第5号
29037990,其他,89,,千克,税委会公告2026年第5号
29038100,1，2，3，4，5，6-六氯环己烷［六六六（ISO）］，包括林丹（ISO，INN）,,,千克,税委会公告2026年第5号
29038200,艾氏剂（ISO）、氯丹（ISO）及七氯（ISO）,89,,千克,税委会公告2026年第5号
29038300,灭蚁灵（ISO）,89,,千克,税委会公告2026年第5号
29038900,其他,,,千克,税委会公告2026年第5号
29039110,邻二氯苯,,,千克,税委会公告2026年第5号
29039190,其他,S,,千克,税委会公告2026年第5号
29039200,六氯苯（ISO）及滴滴涕（ISO，INN）［1，1，1-三氯-2，2-双（4-氯苯基）乙烷］,89,,千克,税委会公告2026年第5号
29039300,五氯苯（ISO）,89,,千克,税委会公告2026年第5号
29039400,六溴联苯,89,,千克,税委会公告2026年第5号
29039910,对氯甲苯,AB,MN,千克,税委会公告2026年第5号
29039920,3，4-二氯三氟甲苯,,,千克,税委会公告2026年第5号
29039930,4-（4'-烷基苯基）-1-（4'-烷基苯基）-2-氟苯,,,千克,税委会公告2026年第5号
29039990,其他,,,千克,税委会公告2026年第5号
29041000,仅含磺基的衍生物及其盐和乙酯,,,千克,税委会公告2026年第5号
29042010,硝基苯,AB,MN,千克,税委会公告2026年第5号
29042020,硝基甲苯,,,千克,税委会公告2026年第5号
29042030,二硝基甲苯,AB,MN,千克,税委会公告2026年第5号
29042040,三硝基甲苯（TNT）,ABk,MN,千克,税委会公告2026年第5号
29042090,其他,3,,千克,税委会公告2026年第5号
29043100,全氟辛基磺酸,89,,千克,税委会公告2026年第5号
29043200,全氟辛基磺酸铵,89,,千克,税委会公告2026年第5号
29043300,全氟辛基磺酸锂,89,,千克,税委会公告2026年第5号
29043400,全氟辛基磺酸钾,89,,千克,税委会公告2026年第5号
29043500,其他全氟辛基磺酸盐,89,,千克,税委会公告2026年第5号
29043600,全氟辛基磺酰氟,89,,千克,税委会公告2026年第5号
29049100,三氯硝基甲烷（氯化苦）,23S,,千克,税委会公告2026年第5号
29049900,其他第二分章醇类及其卤化、磺化、硝化或亚硝化衍生物,,,千克,日常维护
29051100,甲醇,AB,MN,千克,日常维护
29051210,丙醇,AB,MN,千克,税委会公告2026年第5号
29051220,异丙醇,ABG,MN,千克,税委会公告2026年第5号
29051300,正丁醇,AB,MRNS,千克,税委会公告2026年第5号
29051410,异丁醇,,,千克,税委会公告2026年第5号
29051420,仲丁醇,,,千克,税委会公告2026年第5号
29051430,叔丁醇,,,千克,税委会公告2026年第5号
29051610,正辛醇,,,千克,税委会公告2026年第5号
29051690,其他,,,千克,税委会公告2026年第5号
29051700,十二醇、十六醇及十八醇,,,千克,税委会公告2026年第5号
29051910,3，3-二甲基丁-2-醇（频哪基醇）,23,,千克,税委会公告2026年第5号
29051990,其他,S,,千克,税委会公告2026年第5号
29052210,香叶醇、橙花醇（3，7-二甲基-2，6-辛二烯-1-醇）,,,千克,税委会公告2026年第5号
29052220,香茅醇（3，7-二甲基-6-辛烯-1-醇）,,,千克,税委会公告2026年第5号
29052230,芳樟醇,A,R,千克,税委会公告2026年第5号
29052290,其他,,,千克,税委会公告2026年第5号
29052900,其他,,,千克,税委会公告2026年第5号
29053100,1，2-乙二醇,,,千克,日常维护
29053200,1，2-丙二醇,,,千克,税委会公告2026年第5号
29053910,2，5-二甲基已二醇,,,千克,税委会公告2026年第5号
29053990,"其他抗癌药原料（白消安）1,3-丙二醇",S,,千克,税委会公告2026年第5号
29054100,2-乙基-2-（羟甲基）丙烷-1，3-二醇（三羟甲基丙烷）,,,千克,税委会公告2026年第5号
29054200,季戊四醇,,,千克,税委会公告2026年第5号
29054300,甘露糖醇,A,R,千克,税委会公告2026年第5号
29054400,山梨醇,,,千克,税委会公告2026年第5号
29054500,丙三醇（甘油）,A,R,千克,税委会公告2026年第5号
29054910,木糖醇,A,R,千克,税委会公告2026年第5号
29054990,其他,,,千克,税委会公告2026年第5号
29055100,乙氯维诺（INN）,I,,千克,税委会公告2026年第5号
29055900,其他,I,,千克,税委会公告2026年第5号
29061100,薄荷醇,,,千克,税委会公告2026年第5号
29061200,环己醇、甲基环己醇及二甲基环己醇,AB,MN,千克,税委会公告2026年第5号
29061310,固醇,,,千克,税委会公告2026年第5号
29061320,肌醇,A,R,千克,税委会公告2026年第5号
29061910,萜品醇,,,千克,税委会公告2026年第5号
29061990,其他,,,千克,税委会公告2026年第5号
29062100,苄醇,,,千克,税委会公告2026年第5号
29062910,2-苯基乙醇,,,千克,税委会公告2026年第5号
29062990,其他第三分章酚、酚醇及其卤化、磺化、硝化或亚硝化衍生物,89,,千克,税委会公告2026年第5号
29071110,苯酚,AB,MN,千克,税委会公告2026年第5号
29071190,其他,,,千克,税委会公告2026年第5号
29071211,间甲酚,,,千克,税委会公告2026年第5号
29071212,邻甲酚,,,千克,税委会公告2026年第5号
29071219,其他,AB,MRNS,千克,税委会公告2026年第5号
29071290,其他,,,千克,税委会公告2026年第5号
29071310,壬基酚,AB,MN,千克,税委会公告2026年第5号
29071390,其他,,,千克,税委会公告2026年第5号
29071510,2-萘酚（β-萘酚）,,,千克,税委会公告2026年第5号
29071590,其他,AB,RS,千克,税委会公告2026年第5号
29071910,邻仲丁基酚、邻异丙基酚,AB,MN,千克,税委会公告2026年第5号
29071990,其他,,,千克,税委会公告2026年第5号
29072100,间苯二酚及其盐,,,千克,税委会公告2026年第5号
29072210,对苯二酚,,,千克,税委会公告2026年第5号
29072290,其他,,,千克,税委会公告2026年第5号
29072300,4，4′-异亚丙基联苯酚（双酚A，二苯基酚丙烷）及其盐,,,千克,税委会公告2026年第5号
29072910,邻苯二酚,,,千克,税委会公告2026年第5号
29072990,其他,S,,千克,税委会公告2026年第5号
29081100,五氯苯酚（ISO）,89AB,MN,千克,税委会公告2026年第5号
29081910,对氯苯酚,,,千克,税委会公告2026年第5号
29081990,其他,S,,千克,税委会公告2026年第5号
29089100,地乐酚（ISO）及其盐,89,,千克,税委会公告2026年第5号
29089200,4，6-二硝基邻甲酚［二硝酚（ISO）］及其盐,89,,千克,税委会公告2026年第5号
29089910,对硝基酚、对硝基酚钠,,,千克,税委会公告2026年第5号
29089990,其他第四分章醚、过氧化醇、过氧化醚、缩醛及半缩醛过氧化物、过氧化酮、三节环环氧化物、缩醛及半缩醛及其卤化、磺化、硝化或亚硝化衍生物,S,,千克,税委会公告2026年第5号
29091100,乙醚,23AB,MN,千克,税委会公告2026年第5号
29091910,甲醚,,,千克,税委会公告2026年第5号
29091990,其他,S,,千克,税委会公告2026年第5号
29092000,环烷醚、环烯醚或环萜烯醚及其卤化、磺化、硝化或亚硝化衍生物,,,千克,税委会公告2026年第5号
29093010,1-烷氧基-4-（4-乙烯基环己基）-2，3-二氟苯,,,千克,税委会公告2026年第5号
29093020,4-（4-烷氧基苯基）-4'-烷烯基-1，1'-双环己烷及其氟代衍生物,,,千克,税委会公告2026年第5号
29093090,其他,S,,千克,税委会公告2026年第5号
29094100,2，2’-氧联二乙醇（二甘醇）,,,千克,税委会公告2026年第5号
29094300,乙二醇或二甘醇的单丁醚,,,千克,税委会公告2026年第5号
29094400,乙二醇或二甘醇的其他单烷基醚,,,千克,税委会公告2026年第5号
29094910,间苯氧基苄醇,,,千克,税委会公告2026年第5号
29094990,其他,,,千克,税委会公告2026年第5号
29095000,醚酚、醚醇酚及其卤化、磺化、硝化或亚硝化衍生物,,,千克,税委会公告2026年第5号
29096010,缩醛及半缩醛过氧化物，及其卤化、磺化、硝化或亚硝化衍生物,,,千克,税委会公告2026年第5号
29096090,其他,,,千克,税委会公告2026年第5号
29101000,环氧乙烷（氧化乙烯）,AB,MN,千克,税委会公告2026年第5号
29102000,甲基环氧乙烷（氧化丙烯）,,,千克,税委会公告2026年第5号
29103000,1-氯-2，3-环氧丙烷（表氯醇）,AB,MN,千克,税委会公告2026年第5号
29104000,狄氏剂（ISO，INN）,89,,千克,税委会公告2026年第5号
29105000,异狄氏剂（ISO）,89,,千克,税委会公告2026年第5号
29109000,其他,,,千克,税委会公告2026年第5号
29110000,缩醛及半缩醛，不论是否含有其他含氧基，及其卤化、磺化、硝化或亚硝化衍生物第五分章醛基化合物,,,千克,税委会公告2026年第5号
29121100,甲醛,AB,MN,千克,税委会公告2026年第5号
29121200,乙醛,AB,MN,千克,税委会公告2026年第5号
29121900,其他,,,千克,税委会公告2026年第5号
29122100,苯甲醛,,,千克,税委会公告2026年第5号
29122910,铃兰醛（对叔丁基-α-甲基-氧化肉桂醛）,,,千克,税委会公告2026年第5号
29122990,其他,,,千克,税委会公告2026年第5号
29124100,香草醛（3-甲氧基-4-羟基苯甲醛）,,,千克,税委会公告2026年第5号
29124200,乙基香草醛（3-乙氧基-4-羟基苯甲醛）,,,千克,税委会公告2026年第5号
29124910,醛醇,,,千克,税委会公告2026年第5号
29124990,其他,,,千克,税委会公告2026年第5号
29125000,环聚醛,S,,千克,税委会公告2026年第5号
29126000,多聚甲醛,AB,MN,千克,税委会公告2026年第5号
29130000,税目29.12所列产品的卤化、磺化、硝化或亚硝化衍生物第六分章酮基化合物及醌基化合物,ABG,MN,千克,税委会公告2026年第5号
29141100,丙酮,23AB,MN,千克,税委会公告2026年第5号
29141200,丁酮［甲基乙基（甲）酮］,23,,千克,税委会公告2026年第5号
29141300,4-甲基-2-戊酮［甲基异丁基（甲）酮］,AB,MN,千克,税委会公告2026年第5号
29141900,其他,23,,千克,税委会公告2026年第5号
29142200,环己酮及甲基环己酮,AB,MN,千克,税委会公告2026年第5号
29142300,芷香酮及甲基芷香酮,,,千克,税委会公告2026年第5号
29142910,樟脑,B,N,千克,税委会公告2026年第5号
29142990,其他,,,千克,税委会公告2026年第5号
29143100,苯丙酮（苯基丙-2-酮）,23,,千克,税委会公告2026年第5号
29143910,苯乙酮,,,千克,税委会公告2026年第5号
29143990,其他,,,千克,税委会公告2026年第5号
29144000,酮醇及酮醛,S,,千克,税委会公告2026年第5号
29145011,覆盆子酮,,,千克,税委会公告2026年第5号
29145019,其他,,,千克,税委会公告2026年第5号
29145020,2-羟基-4-甲氧基二苯甲酮,,,千克,税委会公告2026年第5号
29145090,其他,,,千克,税委会公告2026年第5号
29146100,蒽醌,,,千克,税委会公告2026年第5号
29146200,辅酶Q10[癸烯醌（INN）],,,千克,税委会公告2026年第5号
29146900,其他,S,,千克,税委会公告2026年第5号
29147100,十氯酮（ISO）,89,,千克,税委会公告2026年第5号
29147900,其他第七分章羧酸及其酸酐、酰卤化物、过氧化物和过氧酸以及它们的卤化、磺化、硝化或亚硝化衍生物,S,,千克,税委会公告2026年第5号
29151100,甲酸,AB,MN,千克,税委会公告2026年第5号
29151200,甲酸盐,,,千克,税委会公告2026年第5号
29151300,甲酸酯,,,千克,税委会公告2026年第5号
29152111,食品级的,ABG,MRNS,千克,税委会公告2026年第5号
29152119,其他,G,,千克,税委会公告2026年第5号
29152190,其他,ABG,MRNS,千克,税委会公告2026年第5号
29152400,乙酸酐,23AB,MN,千克,税委会公告2026年第5号
29152910,乙酸钠,AG,R,千克,税委会公告2026年第5号
29152990,其他,,,千克,税委会公告2026年第5号
29153100,乙酸乙酯,ABG,MRNS,千克,税委会公告2026年第5号
29153200,乙酸乙烯酯,AB,MN,千克,税委会公告2026年第5号
29153300,乙酸（正）丁酯,AB,MN,千克,税委会公告2026年第5号
29153600,地乐酚（ISO）乙酸酯,S,,千克,税委会公告2026年第5号
29153900,其他,AB,MRNS,千克,税委会公告2026年第5号
29154000,一氯代乙酸、二氯乙酸或三氯乙酸及其盐和酯,,,千克,税委会公告2026年第5号
29155010,丙酸,AB,MRNS,千克,税委会公告2026年第5号
29155090,其他,AB,MRNS,千克,税委会公告2026年第5号
29156000,丁酸、戊酸及其盐和酯,,,千克,税委会公告2026年第5号
29157010,硬脂酸,A,R,千克,税委会公告2026年第5号
29157090,其他,X,,千克,税委会公告2026年第5号
29159000,其他,AB,MRNS,千克,税委会公告2026年第5号
29161100,丙烯酸及其盐,,,千克,税委会公告2026年第5号
29161210,丙烯酸甲酯,AB,MN,千克,税委会公告2026年第5号
29161220,丙烯酸乙酯,AB,MN,千克,税委会公告2026年第5号
29161230,丙烯酸丁酯,AB,MN,千克,税委会公告2026年第5号
29161240,丙烯酸异辛酯,,,千克,税委会公告2026年第5号
29161290,其他,X,,千克,税委会公告2026年第5号
29161300,甲基丙烯酸及其盐,AB,MN,千克,税委会公告2026年第5号
29161400,甲基丙烯酸酯,,,千克,税委会公告2026年第5号
29161500,油酸、亚油酸或亚麻酸及其盐和酯,,,千克,税委会公告2026年第5号
29161600,乐杀螨（ISO）,S,,千克,税委会公告2026年第5号
29161900,其他,S,,千克,税委会公告2026年第5号
29162010,二溴菊酸、DV菊酸甲酯,,,千克,税委会公告2026年第5号
29162090,其他,S,,千克,税委会公告2026年第5号
29163100,苯甲酸及其盐和酯,ABG,MRNS,千克,税委会公告2026年第5号
29163200,过氧化苯甲酰及苯甲酰氯,AB,MRNS,千克,税委会公告2026年第5号
29163400,苯乙酸及其盐,23,,千克,税委会公告2026年第5号
