商品编码,品名,序号,要素名,真实示例值,在目录要素内
32041911,硫化黑（硫化青）及以其为基本成分的制品,4,包装规格,25千克/桶,是
32041911,硫化黑（硫化青）及以其为基本成分的制品,5,品牌（中文或外文名称）,中文：××,是
32041911,硫化黑（硫化青）及以其为基本成分的制品,6,型号,英文：××,是
32041919,其他,1,成分含量,橙色有机染料15%-20%、二丙酮醇25%-30%、1-甲氧基-2-丙醇20%-30%,是
32041919,其他,2,用途,皮革染色用,是
32041919,其他,3,染料须报明种类（分散染料、酸性染料、碱性染料等）,酸性染料,是
32041919,其他,4,包装规格,25千克/桶,是
32041919,其他,5,品牌（中文或外文名称）,中文：××,是
32041919,其他,6,型号,英文：××,是
32042000,用作荧光增白剂的有机合成产品,1,成分含量,橙色有机染料15%-20%、二丙酮醇25%-30%、1-甲氧基-2-丙醇20%-30%,是
32042000,用作荧光增白剂的有机合成产品,2,用途,皮革染色用,是
32042000,用作荧光增白剂的有机合成产品,3,染料须报明种类（分散染料、酸性染料、碱性染料等）,酸性染料,是
32042000,用作荧光增白剂的有机合成产品,4,包装规格,25千克/桶,是
32042000,用作荧光增白剂的有机合成产品,5,品牌（中文或外文名称）,中文：××,是
32042000,用作荧光增白剂的有机合成产品,6,型号,英文：××,是
32049010,生物染色剂及染料指示剂,1,成分含量,橙色有机染料15%-20%、二丙酮醇25%-30%、1-甲氧基-2-丙醇20%-30%,是
32049010,生物染色剂及染料指示剂,2,用途,皮革染色用,是
32049010,生物染色剂及染料指示剂,3,染料须报明种类（分散染料、酸性染料、碱性染料等）,酸性染料,是
32049010,生物染色剂及染料指示剂,4,包装规格,25千克/桶,是
32049010,生物染色剂及染料指示剂,5,品牌（中文或外文名称）,中文：××,是
32049010,生物染色剂及染料指示剂,6,型号,英文：××,是
32049090,其他,1,成分含量,橙色有机染料15%-20%、二丙酮醇25%-30%、1-甲氧基-2-丙醇20%-30%,是
32049090,其他,2,用途,皮革染色用,是
32049090,其他,3,染料须报明种类（分散染料、酸性染料、碱性染料等）,酸性染料,是
32049090,其他,4,包装规格,25千克/桶,是
32049090,其他,5,品牌（中文或外文名称）,中文：××,是
32049090,其他,6,型号,英文：××,是
32050000,色淀；本章注释三所述的以色淀为基本成分的制品,1,成分,日落黄93%、氢氧化铝7%,是
32050000,色淀；本章注释三所述的以色淀为基本成分的制品,2,品牌（中文或外文名称）,中文：××,是
32050000,色淀；本章注释三所述的以色淀为基本成分的制品,3,型号,英文：××,是
32061190,其他,1,成分含量,二氧化钛(CI77891)92%，C9-15氟代醇磷酸酯5%，氢氧化铝3%,是
32061190,其他,2,用途,着色剂,是
32061190,其他,3,包装规格,20千克/纸袋,是
32061190,其他,4,型号,无型号,是
32061190,其他,5,品牌（中文或外文名称）,中文：××,是
32061190,其他,6,如果加入放射性盐，请注明放射性比度,英文：××,是
32061900,其他,1,成分含量,二氧化钛65.6%、氢氧化铝10.8%、硅酸3.6%、二甲基硅油15.4%,是
32061900,其他,2,用途,防晒剂,是
32061900,其他,3,包装规格,25千克/桶,是
32061900,其他,4,型号,无型号,是
32061900,其他,5,品牌（中文或外文名称）,中文：××,是
32061900,其他,6,如果加入放射性盐，请注明放射性比度,英文：××,是
32062000,以铬化合物为基本成分的颜料及制品,1,成分含量,氧化铬绿(CI77288)98%，三乙氧基辛基硅烷2%,是
32062000,以铬化合物为基本成分的颜料及制品,2,用途,着色剂,是
32062000,以铬化合物为基本成分的颜料及制品,3,包装规格,25千克/桶,是
32062000,以铬化合物为基本成分的颜料及制品,4,型号,型号：××,是
32062000,以铬化合物为基本成分的颜料及制品,5,品牌（中文或外文名称）,中文：××,是
32062000,以铬化合物为基本成分的颜料及制品,6,如果加入放射性盐，请注明放射性比度,英文：××,是
32064100,群青及以其为基本成分的制品,1,成分含量,双硅酸铝盐90%，钠盐5%，硫化物4%，杂质≤1%，其余为水,是
32064100,群青及以其为基本成分的制品,2,用途,用于塑料、粉末涂料、建筑涂料、装饰性油漆、油墨、皮革等行业,是
32064100,群青及以其为基本成分的制品,3,包装规格,25千克/包,是
32064100,群青及以其为基本成分的制品,4,型号,无型号,是
32064100,群青及以其为基本成分的制品,5,品牌（中文或外文名称）,中文：××,是
32064100,群青及以其为基本成分的制品,6,如果加入放射性盐，请注明放射性比度,英文：××,是
32064210,锌钡白,1,成分含量,双硅酸铝盐90%，钠盐5%，硫化物4%，杂质≤1%，其余为水,是
32064210,锌钡白,2,用途,用于塑料、粉末涂料、建筑涂料、装饰性油漆、油墨、皮革等行业,是
32064210,锌钡白,3,包装规格,25千克/包,是
32064210,锌钡白,4,型号,无型号,是
32064210,锌钡白,5,品牌（中文或外文名称）,中文：××,是
32064210,锌钡白,6,如果加入放射性盐，请注明放射性比度,英文：××,是
32064290,其他,1,成分含量,双硅酸铝盐90%，钠盐5%，硫化物4%，杂质≤1%，其余为水,是
32064290,其他,2,用途,用于塑料、粉末涂料、建筑涂料、装饰性油漆、油墨、皮革等行业,是
32064290,其他,3,包装规格,25千克/包,是
32064290,其他,4,型号,无型号,是
32064290,其他,5,品牌（中文或外文名称）,中文：××,是
32064290,其他,6,如果加入放射性盐，请注明放射性比度,英文：××,是
32064911,以钒酸铋为基本成分的颜料及制品,1,成分含量,双硅酸铝盐90%，钠盐5%，硫化物4%，杂质≤1%，其余为水,是
32064911,以钒酸铋为基本成分的颜料及制品,2,用途,用于塑料、粉末涂料、建筑涂料、装饰性油漆、油墨、皮革等行业,是
32064911,以钒酸铋为基本成分的颜料及制品,3,包装规格,25千克/包,是
32064911,以钒酸铋为基本成分的颜料及制品,4,型号,无型号,是
32064911,以钒酸铋为基本成分的颜料及制品,5,品牌（中文或外文名称）,中文：××,是
32064911,以钒酸铋为基本成分的颜料及制品,6,如果加入放射性盐，请注明放射性比度,英文：××,是
32064919,其他,1,成分含量,双硅酸铝盐90%，钠盐5%，硫化物4%，杂质≤1%，其余为水,是
32064919,其他,2,用途,用于塑料、粉末涂料、建筑涂料、装饰性油漆、油墨、皮革等行业,是
32064919,其他,3,包装规格,25千克/包,是
32064919,其他,4,型号,无型号,是
32064919,其他,5,品牌（中文或外文名称）,中文：××,是
32064919,其他,6,如果加入放射性盐，请注明放射性比度,英文：××,是
32064990,其他,1,成分含量,双硅酸铝盐90%，钠盐5%，硫化物4%，杂质≤1%，其余为水,是
32064990,其他,2,用途,用于塑料、粉末涂料、建筑涂料、装饰性油漆、油墨、皮革等行业,是
32064990,其他,3,包装规格,25千克/包,是
32064990,其他,4,型号,无型号,是
32064990,其他,5,品牌（中文或外文名称）,中文：××,是
32064990,其他,6,如果加入放射性盐，请注明放射性比度,英文：××,是
32065000,用作发光体的无机产品,1,成分含量,氧化铽4%、氧化镁19%、氧化铝77%,是
32065000,用作发光体的无机产品,2,用途,用作发光体,是
32065000,用作发光体的无机产品,3,包装规格,20千克/纸箱,是
32065000,用作发光体的无机产品,4,型号,无型号,是
32065000,用作发光体的无机产品,5,品牌（中文或外文名称）,中文：××,是
32065000,用作发光体的无机产品,6,如果加入放射性盐，请注明放射性比度,英文：××,是
32065000,用作发光体的无机产品,7,稀土元素的重量百分比，以［A］表示,未加入放射性盐,是
32071000,调制颜料、遮光剂、着色剂及类似制品,1,用途,搪瓷面板用,是
32071000,调制颜料、遮光剂、着色剂及类似制品,2,外观,粉末状,是
32071000,调制颜料、遮光剂、着色剂及类似制品,3,成分含量,釉料>99%,是
32071000,调制颜料、遮光剂、着色剂及类似制品,4,品牌（中文或外文名称）,中文：××,是
32071000,调制颜料、遮光剂、着色剂及类似制品,5,型号,英文：××,是
32072000,珐琅和釉料、釉底料（泥釉）及类似制品,1,用途,搪瓷面板用,是
32072000,珐琅和釉料、釉底料（泥釉）及类似制品,2,外观,粉末状,是
32072000,珐琅和釉料、釉底料（泥釉）及类似制品,3,成分含量,釉料>99%,是
32072000,珐琅和釉料、釉底料（泥釉）及类似制品,4,品牌（中文或外文名称）,中文：××,是
32072000,珐琅和釉料、釉底料（泥釉）及类似制品,5,型号,英文：××,是
32073000,光瓷釉及类似制品,1,用途,搪瓷面板用,是
32073000,光瓷釉及类似制品,2,外观,粉末状,是
32073000,光瓷釉及类似制品,3,成分含量,釉料>99%,是
32073000,光瓷釉及类似制品,4,品牌（中文或外文名称）,中文：××,是
32073000,光瓷釉及类似制品,5,型号,英文：××,是
32074000,搪瓷玻璃料及其他玻璃，呈粉、粒或粉片状的,1,用途,搪瓷面板用,是
32074000,搪瓷玻璃料及其他玻璃，呈粉、粒或粉片状的,2,外观,粉末状,是
32074000,搪瓷玻璃料及其他玻璃，呈粉、粒或粉片状的,3,成分含量,釉料>99%,是
32074000,搪瓷玻璃料及其他玻璃，呈粉、粒或粉片状的,4,品牌（中文或外文名称）,中文：××,是
32074000,搪瓷玻璃料及其他玻璃，呈粉、粒或粉片状的,5,型号,英文：××,是
32081000,以聚酯为基本成分,1,成分含量,醇酸树脂10-20%，红丹38-42%，松香水20-25%，硫酸钡10-20%，滑石粉10-20%,是
32081000,以聚酯为基本成分,2,用途,船舶防锈，保养,是
32081000,以聚酯为基本成分,3,分散于或溶于非水介质请注明,溶于非水介质,是
32081000,以聚酯为基本成分,4,施工状态下挥发性有机物含量（以“克/升”表示）,30克/升,是
32081000,以聚酯为基本成分,5,包装规格,中文：××,是
32081000,以聚酯为基本成分,6,品牌（中文或外文名称）,英文：××,是
32081000,以聚酯为基本成分,7,型号,型号：××,是
32081000,以聚酯为基本成分,8,是否为涂料（即是否用于涂于物体表面形成固态涂膜）,,是
32081000,以聚酯为基本成分,9,是否用于集成电路生产,,是
32082010,以丙烯酸聚合物为基本成分,1,成分含量,醇酸树脂10-20%，红丹38-42%，松香水20-25%，硫酸钡10-20%，滑石粉10-20%,是
32082010,以丙烯酸聚合物为基本成分,2,用途,船舶防锈，保养,是
32082010,以丙烯酸聚合物为基本成分,3,分散于或溶于非水介质请注明,溶于非水介质,是
32082010,以丙烯酸聚合物为基本成分,4,施工状态下挥发性有机物含量（以“克/升”表示）,30克/升,是
32082010,以丙烯酸聚合物为基本成分,5,包装规格,中文：××,是
32082010,以丙烯酸聚合物为基本成分,6,品牌（中文或外文名称）,英文：××,是
32082010,以丙烯酸聚合物为基本成分,7,型号,型号：××,是
32082010,以丙烯酸聚合物为基本成分,8,是否为涂料（即是否用于涂于物体表面形成固态涂膜）,,是
32082010,以丙烯酸聚合物为基本成分,9,是否用于集成电路生产,,是
32082020,以乙烯基聚合物为基本成分,1,成分含量,醇酸树脂10-20%，红丹38-42%，松香水20-25%，硫酸钡10-20%，滑石粉10-20%,是
32082020,以乙烯基聚合物为基本成分,2,用途,船舶防锈，保养,是
32082020,以乙烯基聚合物为基本成分,3,分散于或溶于非水介质请注明,溶于非水介质,是
32082020,以乙烯基聚合物为基本成分,4,施工状态下挥发性有机物含量（以“克/升”表示）,30克/升,是
32082020,以乙烯基聚合物为基本成分,5,包装规格,中文：××,是
32082020,以乙烯基聚合物为基本成分,6,品牌（中文或外文名称）,英文：××,是
32082020,以乙烯基聚合物为基本成分,7,型号,型号：××,是
32082020,以乙烯基聚合物为基本成分,8,是否为涂料（即是否用于涂于物体表面形成固态涂膜）,,是
32082020,以乙烯基聚合物为基本成分,9,是否用于集成电路生产,,是
32089010,以聚胺酯类化合物为基本成分,1,成分含量,醇酸树脂10-20%，红丹38-42%，松香水20-25%，硫酸钡10-20%，滑石粉10-20%,是
32089010,以聚胺酯类化合物为基本成分,2,用途,船舶防锈，保养,是
32089010,以聚胺酯类化合物为基本成分,3,分散于或溶于非水介质请注明,溶于非水介质,是
32089010,以聚胺酯类化合物为基本成分,4,施工状态下挥发性有机物含量（以“克/升”表示）,30克/升,是
32089010,以聚胺酯类化合物为基本成分,5,包装规格,中文：××,是
32089010,以聚胺酯类化合物为基本成分,6,品牌（中文或外文名称）,英文：××,是
32089010,以聚胺酯类化合物为基本成分,7,型号,型号：××,是
32089010,以聚胺酯类化合物为基本成分,8,是否为涂料（即是否用于涂于物体表面形成固态涂膜）,,是
32089010,以聚胺酯类化合物为基本成分,9,是否用于集成电路生产,,是
32089090,其他,1,成分含量,醇酸树脂10-20%，红丹38-42%，松香水20-25%，硫酸钡10-20%，滑石粉10-20%,是
32089090,其他,2,用途,船舶防锈，保养,是
32089090,其他,3,分散于或溶于非水介质请注明,溶于非水介质,是
32089090,其他,4,施工状态下挥发性有机物含量（以“克/升”表示）,30克/升,是
32089090,其他,5,包装规格,中文：××,是
32089090,其他,6,品牌（中文或外文名称）,英文：××,是
32089090,其他,7,型号,型号：××,是
32089090,其他,8,是否为涂料（即是否用于涂于物体表面形成固态涂膜）,,是
32089090,其他,9,是否用于集成电路生产,,是
32091000,以丙烯酸聚合物或乙烯基聚合物为基本成分,1,成分含量,合成树脂80%，颜料粉20%,是
32091000,以丙烯酸聚合物或乙烯基聚合物为基本成分,2,用途,刷墙用,是
32091000,以丙烯酸聚合物或乙烯基聚合物为基本成分,3,施工状态下挥发性有机物含量（以“克/升”表示）,不分散或溶于水介质,是
32091000,以丙烯酸聚合物或乙烯基聚合物为基本成分,4,品牌（中文或外文名称）,中文：××,是
32091000,以丙烯酸聚合物或乙烯基聚合物为基本成分,5,型号,英文：××,是
32091000,以丙烯酸聚合物或乙烯基聚合物为基本成分,6,是否用于集成电路生产,型号：××,是
32099010,以环氧树脂为基本成分,1,成分含量,合成树脂80%，颜料粉20%,是
32099010,以环氧树脂为基本成分,2,用途,刷墙用,是
32099010,以环氧树脂为基本成分,3,施工状态下挥发性有机物含量（以“克/升”表示）,不分散或溶于水介质,是
32099010,以环氧树脂为基本成分,4,品牌（中文或外文名称）,中文：××,是
32099010,以环氧树脂为基本成分,5,型号,英文：××,是
32099010,以环氧树脂为基本成分,6,是否用于集成电路生产,型号：××,是
32099020,以氟树脂为基本成分,1,成分含量,合成树脂80%，颜料粉20%,是
32099020,以氟树脂为基本成分,2,用途,刷墙用,是
32099020,以氟树脂为基本成分,3,施工状态下挥发性有机物含量（以“克/升”表示）,不分散或溶于水介质,是
32099020,以氟树脂为基本成分,4,品牌（中文或外文名称）,中文：××,是
32099020,以氟树脂为基本成分,5,型号,英文：××,是
32099020,以氟树脂为基本成分,6,是否用于集成电路生产,型号：××,是
32099090,其他,1,成分含量,合成树脂80%，颜料粉20%,是
32099090,其他,2,用途,刷墙用,是
32099090,其他,3,施工状态下挥发性有机物含量（以“克/升”表示）,不分散或溶于水介质,是
32099090,其他,4,品牌（中文或外文名称）,中文：××,是
32099090,其他,5,型号,英文：××,是
32099090,其他,6,是否用于集成电路生产,型号：××,是
32100000,其他油漆及清漆（包括瓷漆、大漆及水浆涂料）；加工皮革用的水性颜料,1,成分含量,硅树脂90%，丙烯酸酯化合物及添加剂10%,是
32100000,其他油漆及清漆（包括瓷漆、大漆及水浆涂料）；加工皮革用的水性颜料,2,用途,光纤表面着色用,是
32100000,其他油漆及清漆（包括瓷漆、大漆及水浆涂料）；加工皮革用的水性颜料,3,施工状态下挥发性有机物含量（以“克/升”表示）,75克/升,是
32100000,其他油漆及清漆（包括瓷漆、大漆及水浆涂料）；加工皮革用的水性颜料,4,品牌（中文或外文名称）,中文：××,是
32100000,其他油漆及清漆（包括瓷漆、大漆及水浆涂料）；加工皮革用的水性颜料,5,型号,英文：××,是
32110000,配制的催干剂,1,成分含量,聚酰胺树脂25%、二甲苯10%、异丁醇25%、乙基苯10%、2，4，6-三(二甲胺甲基)苯酚5%、聚酰胺环氧加成物25%,是
32110000,配制的催干剂,2,用途,使干性油更易氧化，加速油漆干燥,是
32110000,配制的催干剂,3,品牌（中文或外文名称）,中文：××,是
32110000,配制的催干剂,4,型号,英文：××,是
32121000,压印箔,1,成分含量,电化铝100%,是
32121000,压印箔,2,用途,烫印标签用,是
32121000,压印箔,3,包装规格,纸箱,是
32121000,压印箔,4,外观（箔）,片状,是
32121000,压印箔,5,品牌（中文或外文名称）,中文：××,是
32121000,压印箔,6,规格,英文：××,是
32121000,压印箔,7,加工工艺,33厘米×50厘米,是
32129000,其他,1,成分含量,射光蓝浆AG34-36%、聚合并氧化鱼类脂肪与甘油酯油30-35%、豆油30-35%、石油磺酸钠盐3-5%,是
32129000,其他,2,用途,制油墨用,是
32129000,其他,3,包装规格,塑料桶,是
32129000,其他,4,外观,蓝色浆状,是
32129000,其他,5,品牌（中文或外文名称）,中文：××,是
32131000,成套的颜料,1,用途,美工用,是
32131000,成套的颜料,2,品牌（中文或外文名称）,中文：××,是
32131000,成套的颜料,3,型号,英文：××,是
32131000,成套的颜料,4,是否成套,型号：××,是
32139000,其他,1,用途,美工用,是
32139000,其他,2,品牌（中文或外文名称）,中文：××,是
32139000,其他,3,型号,英文：××,是
32139000,其他,4,是否成套,型号：××,是
32141010,半导体器件封装材料,1,成分含量,二氧化硅65%-88%、环氧树脂7%-13%、酚醛树脂3%-8%,是
32141010,半导体器件封装材料,2,用途,用于电子产品的封装,是
32141010,半导体器件封装材料,3,品牌（中文或外文名称）,30克/升,是
32141010,半导体器件封装材料,4,型号,中文：××,是
32141090,其他,1,成分含量,二氧化硅65%-88%、环氧树脂7%-13%、酚醛树脂3%-8%,是
32141090,其他,2,用途,用于电子产品的封装,是
32141090,其他,3,品牌（中文或外文名称）,30克/升,是
32141090,其他,4,型号,中文：××,是
32149000,其他,1,成分含量,二氧化硅65%-88%、环氧树脂7%-13%、酚醛树脂3%-8%,是
32149000,其他,2,用途,用于电子产品的封装,是
32149000,其他,3,施工状态下挥发性有机物含量（以“克/升”表示）,30克/升,是
32149000,其他,4,品牌（中文或外文名称）,中文：××,是
32149000,其他,5,型号,英文：××,是
32151100,"黑色黑色,用于装入税目8443.31、8443.32或8443.39所列设备的工程形态的固体油墨",1,用途（如子目8443.31、8443.32或8443.39所列设备用等）,用于喷墨打印机,是
32151100,"黑色黑色,用于装入税目8443.31、8443.32或8443.39所列设备的工程形态的固体油墨",2,颜色,黑色,是
32151100,"黑色黑色,用于装入税目8443.31、8443.32或8443.39所列设备的工程形态的固体油墨",3,成分含量,环乙烯丙烯酸酯25-60%，氨基丙烯酸酯5-10%，乙烯基已内酰胺10-25%，丙烯酸异癸酯5-10%，（2，4，6-三甲基苯甲酰基)二苯基氧化磷1-5%，炭黑1-5%，2-苯甲基-2-（二甲氨基）-4-吗啉代丁酰苯1-5%,是
32151100,"黑色黑色,用于装入税目8443.31、8443.32或8443.39所列设备的工程形态的固体油墨",4,是否具有曝光显影功能,不具有曝光显影功能,是
32151900,其他其他，用于装入税目8443.31、8443.32或8443.39所列设备的工程形态的固体油墨,1,用途（如子目8443.31、8443.32或8443.39所列设备用等）,用于喷墨打印机,是
32151900,其他其他，用于装入税目8443.31、8443.32或8443.39所列设备的工程形态的固体油墨,2,颜色,黑色,是
32151900,其他其他，用于装入税目8443.31、8443.32或8443.39所列设备的工程形态的固体油墨,3,成分含量,环乙烯丙烯酸酯25-60%，氨基丙烯酸酯5-10%，乙烯基已内酰胺10-25%，丙烯酸异癸酯5-10%，（2，4，6-三甲基苯甲酰基)二苯基氧化磷1-5%，炭黑1-5%，2-苯甲基-2-（二甲氨基）-4-吗啉代丁酰苯1-5%,是
32151900,其他其他，用于装入税目8443.31、8443.32或8443.39所列设备的工程形态的固体油墨,4,是否具有曝光显影功能,不具有曝光显影功能,是
32159010,书写墨水,1,用途,记号笔笔芯,是
32159010,书写墨水,2,成分含量,酒精45-50%，树脂15-20%，染料15-20%，其他10-25%,是
32159010,书写墨水,3,品牌（中文或外文名称）,,是
32159010,书写墨水,4,型号,,是
32159020,水性喷墨墨水,1,用途,记号笔笔芯,是
32159020,水性喷墨墨水,2,成分含量,酒精45-50%，树脂15-20%，染料15-20%，其他10-25%,是
32159020,水性喷墨墨水,3,品牌（中文或外文名称）,,是
32159020,水性喷墨墨水,4,型号,,是
32159090,其他,1,用途,记号笔笔芯,是
32159090,其他,2,成分含量,酒精45-50%，树脂15-20%，染料15-20%，其他10-25%,是
32159090,其他,3,品牌（中文或外文名称）,,是
32159090,其他,4,型号,,是
33011300,柠檬油,1,用途,用于日化和食品工业,是
33011300,柠檬油,2,加工工艺,白柠檬皮压榨,是
33011300,柠檬油,3,包装规格,90千克/桶,是
33011300,柠檬油,4,品牌（中文或外文名称）,中文：××,是
33011300,柠檬油,5,型号,英文：××,是
33011300,柠檬油,6,成分含量,型号：××,是
33011910,白柠檬油（酸橙油）,1,用途,用于日化和食品工业,是
33011910,白柠檬油（酸橙油）,2,加工工艺,白柠檬皮压榨,是
33011910,白柠檬油（酸橙油）,3,包装规格,90千克/桶,是
33011910,白柠檬油（酸橙油）,4,品牌（中文或外文名称）,中文：××,是
33011910,白柠檬油（酸橙油）,5,型号,英文：××,是
33011910,白柠檬油（酸橙油）,6,成分含量,型号：××,是
33011990,其他,1,用途,用于日化和食品工业,是
33011990,其他,2,加工工艺,白柠檬皮压榨,是
33011990,其他,3,包装规格,90千克/桶,是
33011990,其他,4,品牌（中文或外文名称）,中文：××,是
33011990,其他,5,型号,英文：××,是
33011990,其他,6,成分含量,型号：××,是
33012500,其他薄荷油,1,用途,用于日化和食品工业,是
33012500,其他薄荷油,2,加工工艺,白柠檬皮压榨,是
33012500,其他薄荷油,3,包装规格,90千克/桶,是
33012500,其他薄荷油,4,品牌（中文或外文名称）,中文：××,是
33012500,其他薄荷油,5,型号,英文：××,是
33012500,其他薄荷油,6,成分含量,型号：××,是
33012910,樟脑油,1,用途,用于日化和食品工业,是
33012910,樟脑油,2,加工工艺,白柠檬皮压榨,是
33012910,樟脑油,3,包装规格,90千克/桶,是
33012910,樟脑油,4,品牌（中文或外文名称）,中文：××,是
33012910,樟脑油,5,型号,英文：××,是
33012910,樟脑油,6,成分含量,型号：××,是
33012920,香茅油,1,用途,用于日化和食品工业,是
33012920,香茅油,2,加工工艺,白柠檬皮压榨,是
33012920,香茅油,3,包装规格,90千克/桶,是
33012920,香茅油,4,品牌（中文或外文名称）,中文：××,是
33012920,香茅油,5,型号,英文：××,是
33012920,香茅油,6,成分含量,型号：××,是
33012930,茴香油,1,用途,用于日化和食品工业,是
33012930,茴香油,2,加工工艺,白柠檬皮压榨,是
33012930,茴香油,3,包装规格,90千克/桶,是
33012930,茴香油,4,品牌（中文或外文名称）,中文：××,是
33012930,茴香油,5,型号,英文：××,是
33012930,茴香油,6,成分含量,型号：××,是
33012940,桂油,1,用途,用于日化和食品工业,是
33012940,桂油,2,加工工艺,白柠檬皮压榨,是
33012940,桂油,3,包装规格,90千克/桶,是
33012940,桂油,4,品牌（中文或外文名称）,中文：××,是
33012940,桂油,5,型号,英文：××,是
33012940,桂油,6,成分含量,型号：××,是
33012950,山苍子油,1,用途,用于日化和食品工业,是
33012950,山苍子油,2,加工工艺,白柠檬皮压榨,是
33012950,山苍子油,3,包装规格,90千克/桶,是
33012950,山苍子油,4,品牌（中文或外文名称）,中文：××,是
33012950,山苍子油,5,型号,英文：××,是
33012950,山苍子油,6,成分含量,型号：××,是
33012960,桉叶油,1,用途,用于日化和食品工业,是
33012960,桉叶油,2,加工工艺,白柠檬皮压榨,是
33012960,桉叶油,3,包装规格,90千克/桶,是
33012960,桉叶油,4,品牌（中文或外文名称）,中文：××,是
33012960,桉叶油,5,型号,英文：××,是
33012960,桉叶油,6,成分含量,型号：××,是
33012991,老鹳草油（香叶油）,1,用途,用于日化和食品工业,是
33012991,老鹳草油（香叶油）,2,加工工艺,白柠檬皮压榨,是
33012991,老鹳草油（香叶油）,3,包装规格,90千克/桶,是
33012991,老鹳草油（香叶油）,4,品牌（中文或外文名称）,中文：××,是
33012991,老鹳草油（香叶油）,5,型号,英文：××,是
33012991,老鹳草油（香叶油）,6,成分含量,型号：××,是
33012999,其他黄樟油,1,用途,用于日化和食品工业,是
33012999,其他黄樟油,2,加工工艺,白柠檬皮压榨,是
33012999,其他黄樟油,3,包装规格,90千克/桶,是
33012999,其他黄樟油,4,品牌（中文或外文名称）,中文：××,是
33012999,其他黄樟油,5,型号,英文：××,是
33012999,其他黄樟油,6,成分含量,型号：××,是
33013010,鸢尾凝脂,1,用途,用于日化和食品工业,是
33013010,鸢尾凝脂,2,加工工艺,白柠檬皮压榨,是
33013010,鸢尾凝脂,3,包装规格,90千克/桶,是
33013010,鸢尾凝脂,4,品牌（中文或外文名称）,中文：××,是
33013010,鸢尾凝脂,5,型号,英文：××,是
33013010,鸢尾凝脂,6,成分含量,型号：××,是
33013090,其他,1,用途,用于日化和食品工业,是
33013090,其他,2,加工工艺,白柠檬皮压榨,是
33013090,其他,3,包装规格,90千克/桶,是
33013090,其他,4,品牌（中文或外文名称）,中文：××,是
33013090,其他,5,型号,英文：××,是
33013090,其他,6,成分含量,型号：××,是
33019010,提取的油树脂,1,用途,用于日化和食品工业,是
33019010,提取的油树脂,2,加工工艺,白柠檬皮压榨,是
33019010,提取的油树脂,3,包装规格,90千克/桶,是
33019010,提取的油树脂,4,品牌（中文或外文名称）,中文：××,是
33019010,提取的油树脂,5,型号,英文：××,是
33019010,提取的油树脂,6,成分含量,型号：××,是
33019020,柑桔属果实的精油脱萜的萜烯副产品,1,用途,用于日化和食品工业,是
33019020,柑桔属果实的精油脱萜的萜烯副产品,2,加工工艺,白柠檬皮压榨,是
33019020,柑桔属果实的精油脱萜的萜烯副产品,3,包装规格,90千克/桶,是
33019020,柑桔属果实的精油脱萜的萜烯副产品,4,品牌（中文或外文名称）,中文：××,是
33019020,柑桔属果实的精油脱萜的萜烯副产品,5,型号,英文：××,是
33019020,柑桔属果实的精油脱萜的萜烯副产品,6,成分含量,型号：××,是
33019090,其他,1,用途,用于日化和食品工业,是
33019090,其他,2,加工工艺,白柠檬皮压榨,是
33019090,其他,3,包装规格,90千克/桶,是
33019090,其他,4,品牌（中文或外文名称）,中文：××,是
33019090,其他,5,型号,英文：××,是
33019090,其他,6,成分含量,型号：××,是
33021010,生产饮料用的以香料为基本成分的制品，按容量计酒精浓度不超过0.5％的,1,成分,水，树胶，天然柠檬香精，木公香酯甘油等,是
33021010,生产饮料用的以香料为基本成分的制品，按容量计酒精浓度不超过0.5％的,2,用途,食品添加剂,是
33021010,生产饮料用的以香料为基本成分的制品，按容量计酒精浓度不超过0.5％的,3,酒精含量,无酒精,是
33021010,生产饮料用的以香料为基本成分的制品，按容量计酒精浓度不超过0.5％的,4,品牌（中文或外文名称）,中文：××,是
33021010,生产饮料用的以香料为基本成分的制品，按容量计酒精浓度不超过0.5％的,5,型号,英文：××,是
33021010,生产饮料用的以香料为基本成分的制品，按容量计酒精浓度不超过0.5％的,6,包装规格,型号：××,是
33021090,其他,1,成分,水，树胶，天然柠檬香精，木公香酯甘油等,是
33021090,其他,2,用途,食品添加剂,是
33021090,其他,3,酒精含量,无酒精,是
33021090,其他,4,品牌（中文或外文名称）,中文：××,是
33021090,其他,5,型号,英文：××,是
33021090,其他,6,包装规格,型号：××,是
33029000,其他,1,成分,天然香料，合成香料,是
33029000,其他,2,用途,生产牙膏用,是
33029000,其他,3,品牌（中文或外文名称）,中文：××,是
33029000,其他,4,型号,英文：××,是
33029000,其他,5,包装规格,型号:××,是
33030000,香水及花露水,1,包装规格,100毫升/瓶,是
33030000,香水及花露水,2,品牌（中文或外文名称）,中文：××,是
33041000,唇用化妆品,1,用途,用于眼部的美容修饰,是
33041000,唇用化妆品,2,包装规格,100克/盒,是
33041000,唇用化妆品,3,品牌（中文或外文名称）,中文：××,是
33041000,唇用化妆品,4,色号,英文：××,是
33041000,唇用化妆品,5,GTIN码,,是
33042000,眼用化妆品,1,用途,用于眼部的美容修饰,是
33042000,眼用化妆品,2,包装规格,100克/盒,是
33042000,眼用化妆品,3,品牌（中文或外文名称）,中文：××,是
33042000,眼用化妆品,4,GTIN码,英文：××,是
33043000,指（趾）甲化妆品,1,用途,用于眼部的美容修饰,是
